"SETTLEMENT_PERIOD","halfhourlysolar","halfhourlywind","demand"
1,0,1401.02191780822,20045
1,0,1401.02191780822,18688
1,0,1401.02191780822,22503
1,0,1401.02191780822,23136
1,0,1401.02191780822,22338
1,0,1401.02191780822,23809
1,0,1401.02191780822,22440
1,0,1401.02191780822,19785
1,0,1401.02191780822,21597
1,0,1401.02191780822,21287
1,0,1401.02191780822,22235
1,0,1401.02191780822,22847
1,0,1401.02191780822,20774
1,0,1401.02191780822,20628
1,0,1401.02191780822,21926
1,0,1401.02191780822,21790
1,0,1401.02191780822,23113
1,0,1401.02191780822,22148
1,0,1401.02191780822,21983
1,0,1401.02191780822,21875
1,0,1401.02191780822,22341
1,0,1401.02191780822,21689
1,0,1401.02191780822,21850
1,0,1401.02191780822,24831
1,0,1401.02191780822,24864
1,0,1401.02191780822,24087
1,0,1401.02191780822,23547
1,0,1401.02191780822,23813
1,0,1401.02191780822,23304
1,0,1401.02191780822,24515
1,0,1401.02191780822,23311
1,0,1401.02191780822,21204
1,0,1401.02191780822,23954
1,0,1401.02191780822,25338
1,0,1401.02191780822,24555
1,0,1401.02191780822,22190
1,0,1401.02191780822,24693
1,0,1401.02191780822,24482
1,0,1401.02191780822,22875
1,0,1401.02191780822,24108
1,0,1401.02191780822,23877
1,0,1401.02191780822,25549
1,0,1401.02191780822,22861
1,0,1401.02191780822,20330
1,0,1401.02191780822,23793
1,0,1401.02191780822,22474
1,0,1401.02191780822,23111
1,0,1401.02191780822,24122
1,0,1401.02191780822,23739
1,0,1401.02191780822,23606
1,0,1401.02191780822,23298
1,0,1401.02191780822,24366
1,0,1401.02191780822,25221
1,0,1401.02191780822,24893
1,0,1401.02191780822,23085
1,0,1401.02191780822,21070
1,0,1401.02191780822,20275
1,0,1401.02191780822,21761
1,0,1401.02191780822,21594
1,0,1401.02191780822,21593
1,0,1401.02191780822,20158
1,0,1401.02191780822,19310
2,0,1393.48219178082,26281
2,0,1393.48219178082,23572
2,0,1393.48219178082,24494
2,0,1393.48219178082,23770
2,0,1393.48219178082,25337
2,0,1393.48219178082,26321
2,0,1393.48219178082,27198
2,0,1393.48219178082,27557
2,0,1393.48219178082,27471
2,0,1393.48219178082,26196
2,0,1393.48219178082,24033
2,0,1393.48219178082,23413
2,0,1393.48219178082,25968
2,0,1393.48219178082,25251
2,0,1393.48219178082,26297
2,0,1393.48219178082,24910
2,0,1393.48219178082,23719
2,0,1393.48219178082,23428
2,0,1393.48219178082,23384
2,0,1393.48219178082,22115
2,0,1393.48219178082,23267
2,0,1393.48219178082,24765
2,0,1393.48219178082,25679
2,0,1393.48219178082,25990
2,0,1393.48219178082,25359
2,0,1393.48219178082,26522
2,0,1393.48219178082,25431
2,0,1393.48219178082,24874
2,0,1393.48219178082,23138
2,0,1393.48219178082,23970
2,0,1393.48219178082,24575
2,0,1393.48219178082,24974
2,0,1393.48219178082,25553
2,0,1393.48219178082,23906
2,0,1393.48219178082,25173
2,0,1393.48219178082,24768
2,0,1393.48219178082,24803
2,0,1393.48219178082,23142
2,0,1393.48219178082,23273
2,0,1393.48219178082,26583
2,0,1393.48219178082,26700
2,0,1393.48219178082,28126
2,0,1393.48219178082,27427
2,0,1393.48219178082,26428
2,0,1393.48219178082,25251
2,0,1393.48219178082,24482
2,0,1393.48219178082,23114
2,0,1393.48219178082,23883
2,0,1393.48219178082,21934
2,0,1393.48219178082,23558
2,0,1393.48219178082,21668
2,0,1393.48219178082,21243
2,0,1393.48219178082,23175
2,0,1393.48219178082,22892
2,0,1393.48219178082,20473
2,0,1393.48219178082,22207
2,0,1393.48219178082,24371
2,0,1393.48219178082,24307
2,0,1393.48219178082,23483
2,0,1393.48219178082,23120
2,0,1393.48219178082,24557
2,0,1393.48219178082,24996
2,0,1393.48219178082,25150
2,0,1393.48219178082,25067
2,0,1393.48219178082,25554
2,0,1393.48219178082,25034
2,0,1393.48219178082,24260
2,0,1393.48219178082,24636
2,0,1393.48219178082,21837
2,0,1393.48219178082,21772
2,0,1393.48219178082,21988
2,0,1393.48219178082,21823
2,0,1393.48219178082,22263
2,0,1393.48219178082,21932
2,0,1393.48219178082,24445
2,0,1393.48219178082,23712
2,0,1393.48219178082,23988
2,0,1393.48219178082,23092
2,0,1393.48219178082,24058
2,0,1393.48219178082,22144
2,0,1393.48219178082,22858
2,0,1393.48219178082,23713
2,0,1393.48219178082,22519
2,0,1393.48219178082,22463
2,0,1393.48219178082,20739
2,0,1393.48219178082,21315
2,0,1393.48219178082,19390
2,0,1393.48219178082,17755
2,0,1393.48219178082,20405
2,0,1393.48219178082,19631
2,0,1393.48219178082,18244
2,0,1393.48219178082,20527
2,0,1393.48219178082,19277
2,0,1393.48219178082,21098
2,0,1393.48219178082,17105
2,0,1393.48219178082,19976
2,0,1393.48219178082,21975
2,0,1393.48219178082,22221
2,0,1393.48219178082,19990
2,0,1393.48219178082,21693
2,0,1393.48219178082,21556
2,0,1393.48219178082,21529
2,0,1393.48219178082,22913
2,0,1393.48219178082,22544
2,0,1393.48219178082,22247
2,0,1393.48219178082,22763
2,0,1393.48219178082,22120
2,0,1393.48219178082,21176
2,0,1393.48219178082,20484
2,0,1393.48219178082,20968
2,0,1393.48219178082,20273
2,0,1393.48219178082,21032
2,0,1393.48219178082,20655
2,0,1393.48219178082,20137
2,0,1393.48219178082,19038
2,0,1393.48219178082,19472
2,0,1393.48219178082,20161
2,0,1393.48219178082,20018
2,0,1393.48219178082,21131
2,0,1393.48219178082,21590
2,0,1393.48219178082,21198
2,0,1393.48219178082,20788
2,0,1393.48219178082,19268
2,0,1393.48219178082,18401
2,0,1393.48219178082,20511
2,0,1393.48219178082,21784
2,0,1393.48219178082,21092
2,0,1393.48219178082,20169
2,0,1393.48219178082,18433
2,0,1393.48219178082,19652
2,0,1393.48219178082,19514
2,0,1393.48219178082,20370
2,0,1393.48219178082,20547
2,0,1393.48219178082,20241
2,0,1393.48219178082,20240
2,0,1393.48219178082,19523
2,0,1393.48219178082,19306
2,0,1393.48219178082,19780
2,0,1393.48219178082,20320
2,0,1393.48219178082,20127
2,0,1393.48219178082,18681
2,0,1393.48219178082,19219
2,0,1393.48219178082,19778
2,0,1393.48219178082,18964
2,0,1393.48219178082,19653
2,0,1393.48219178082,20414
2,0,1393.48219178082,20689
2,0,1393.48219178082,19855
2,0,1393.48219178082,19978
2,0,1393.48219178082,18975
2,0,1393.48219178082,18516
2,0,1393.48219178082,18274
2,0,1393.48219178082,18971
2,0,1393.48219178082,20007
2,0,1393.48219178082,19631
2,0,1393.48219178082,19369
2,0,1393.48219178082,18393
2,0,1393.48219178082,18557
2,0,1393.48219178082,19586
2,0,1393.48219178082,19878
2,0,1393.48219178082,19745
2,0,1393.48219178082,19096
2,0,1393.48219178082,19450
2,0,1393.48219178082,18706
2,0,1393.48219178082,18796
2,0,1393.48219178082,19914
2,0,1393.48219178082,19508
2,0,1393.48219178082,20470
2,0,1393.48219178082,19757
2,0,1393.48219178082,19452
2,0,1393.48219178082,18541
2,0,1393.48219178082,18078
2,0,1393.48219178082,19213
2,0,1393.48219178082,19620
2,0,1393.48219178082,20126
2,0,1393.48219178082,19652
2,0,1393.48219178082,18880
2,0,1393.48219178082,17984
2,0,1393.48219178082,17962
2,0,1393.48219178082,19824
2,0,1393.48219178082,19505
2,0,1393.48219178082,19511
2,0,1393.48219178082,19610
2,0,1393.48219178082,19371
2,0,1393.48219178082,18515
2,0,1393.48219178082,18214
2,0,1393.48219178082,19363
2,0,1393.48219178082,18853
2,0,1393.48219178082,19614
2,0,1393.48219178082,19988
2,0,1393.48219178082,19590
2,0,1393.48219178082,18921
2,0,1393.48219178082,18862
2,0,1393.48219178082,19304
2,0,1393.48219178082,19290
2,0,1393.48219178082,19206
2,0,1393.48219178082,19819
2,0,1393.48219178082,19790
2,0,1393.48219178082,19318
2,0,1393.48219178082,19677
2,0,1393.48219178082,21056
2,0,1393.48219178082,21103
2,0,1393.48219178082,21173
2,0,1393.48219178082,20592
2,0,1393.48219178082,18642
2,0,1393.48219178082,18509
2,0,1393.48219178082,18621
2,0,1393.48219178082,19465
2,0,1393.48219178082,19183
2,0,1393.48219178082,17810
2,0,1393.48219178082,18772
2,0,1393.48219178082,18207
2,0,1393.48219178082,18144
2,0,1393.48219178082,17987
2,0,1393.48219178082,18810
2,0,1393.48219178082,18903
2,0,1393.48219178082,18590
2,0,1393.48219178082,18188
2,0,1393.48219178082,17465
2,0,1393.48219178082,16583
2,0,1393.48219178082,17194
2,0,1393.48219178082,18701
2,0,1393.48219178082,19079
2,0,1393.48219178082,19014
2,0,1393.48219178082,18400
2,0,1393.48219178082,18411
2,0,1393.48219178082,18417
2,0,1393.48219178082,17070
2,0,1393.48219178082,18746
2,0,1393.48219178082,18794
2,0,1393.48219178082,19614
2,0,1393.48219178082,19958
2,0,1393.48219178082,19185
2,0,1393.48219178082,18790
2,0,1393.48219178082,18719
2,0,1393.48219178082,19425
2,0,1393.48219178082,19570
2,0,1393.48219178082,19320
2,0,1393.48219178082,19270
2,0,1393.48219178082,18860
2,0,1393.48219178082,18267
2,0,1393.48219178082,17697
2,0,1393.48219178082,17948
2,0,1393.48219178082,18860
2,0,1393.48219178082,18954
2,0,1393.48219178082,19509
2,0,1393.48219178082,19038
2,0,1393.48219178082,17915
2,0,1393.48219178082,18448
2,0,1393.48219178082,19884
2,0,1393.48219178082,19661
2,0,1393.48219178082,20439
2,0,1393.48219178082,20067
2,0,1393.48219178082,19139
2,0,1393.48219178082,18586
2,0,1393.48219178082,18039
2,0,1393.48219178082,18896
2,0,1393.48219178082,19584
2,0,1393.48219178082,19349
2,0,1393.48219178082,18608
2,0,1393.48219178082,19471
2,0,1393.48219178082,18244
2,0,1393.48219178082,18147
2,0,1393.48219178082,19009
2,0,1393.48219178082,18697
2,0,1393.48219178082,17826
2,0,1393.48219178082,18589
2,0,1393.48219178082,19069
2,0,1393.48219178082,18629
2,0,1393.48219178082,16843
2,0,1393.48219178082,18001
2,0,1393.48219178082,18801
2,0,1393.48219178082,18946
2,0,1393.48219178082,17881
2,0,1393.48219178082,19040
2,0,1393.48219178082,18444
2,0,1393.48219178082,17990
2,0,1393.48219178082,19039
2,0,1393.48219178082,17792
2,0,1393.48219178082,19765
2,0,1393.48219178082,19703
2,0,1393.48219178082,20221
2,0,1393.48219178082,19284
2,0,1393.48219178082,18211
2,0,1393.48219178082,19556
2,0,1393.48219178082,20399
2,0,1393.48219178082,20126
2,0,1393.48219178082,19185
2,0,1393.48219178082,20502
2,0,1393.48219178082,18664
2,0,1393.48219178082,18717
2,0,1393.48219178082,19730
2,0,1393.48219178082,18971
2,0,1393.48219178082,19136
2,0,1393.48219178082,19638
2,0,1393.48219178082,20999
2,0,1393.48219178082,18355
2,0,1393.48219178082,18176
2,0,1393.48219178082,20243
2,0,1393.48219178082,18212
2,0,1393.48219178082,18109
2,0,1393.48219178082,19595
2,0,1393.48219178082,19248
2,0,1393.48219178082,19295
2,0,1393.48219178082,18919
2,0,1393.48219178082,22578
2,0,1393.48219178082,23246
2,0,1393.48219178082,22566
2,0,1393.48219178082,24271
2,0,1393.48219178082,22541
2,0,1393.48219178082,20171
2,0,1393.48219178082,22019
2,0,1393.48219178082,21595
2,0,1393.48219178082,22569
2,0,1393.48219178082,22793
2,0,1393.48219178082,20848
2,0,1393.48219178082,20867
2,0,1393.48219178082,22175
2,0,1393.48219178082,22074
2,0,1393.48219178082,23387
2,0,1393.48219178082,22357
2,0,1393.48219178082,22201
2,0,1393.48219178082,22184
2,0,1393.48219178082,22263
2,0,1393.48219178082,21804
2,0,1393.48219178082,22338
2,0,1393.48219178082,25342
2,0,1393.48219178082,25214
2,0,1393.48219178082,24414
2,0,1393.48219178082,23815
2,0,1393.48219178082,24236
2,0,1393.48219178082,23800
2,0,1393.48219178082,25153
2,0,1393.48219178082,23674
2,0,1393.48219178082,21679
2,0,1393.48219178082,24593
2,0,1393.48219178082,25449
2,0,1393.48219178082,24892
2,0,1393.48219178082,22654
2,0,1393.48219178082,25092
2,0,1393.48219178082,24952
2,0,1393.48219178082,23089
2,0,1393.48219178082,24412
2,0,1393.48219178082,24062
2,0,1393.48219178082,26075
2,0,1393.48219178082,23261
2,0,1393.48219178082,20831
2,0,1393.48219178082,24179
2,0,1393.48219178082,22908
2,0,1393.48219178082,23313
2,0,1393.48219178082,24565
2,0,1393.48219178082,24231
2,0,1393.48219178082,23956
2,0,1393.48219178082,23770
2,0,1393.48219178082,24712
2,0,1393.48219178082,25457
2,0,1393.48219178082,25244
2,0,1393.48219178082,23575
2,0,1393.48219178082,21379
2,0,1393.48219178082,20939
2,0,1393.48219178082,22301
2,0,1393.48219178082,22037
2,0,1393.48219178082,22209
2,0,1393.48219178082,20573
2,0,1393.48219178082,19764
3,0,1394.69315068493,25557
3,0,1394.69315068493,23254
3,0,1394.69315068493,24230
3,0,1394.69315068493,23582
3,0,1394.69315068493,25083
3,0,1394.69315068493,26171
3,0,1394.69315068493,26961
3,0,1394.69315068493,27375
3,0,1394.69315068493,27188
3,0,1394.69315068493,25927
3,0,1394.69315068493,23769
3,0,1394.69315068493,23264
3,0,1394.69315068493,25955
3,0,1394.69315068493,24932
3,0,1394.69315068493,26133
3,0,1394.69315068493,24331
3,0,1394.69315068493,23312
3,0,1394.69315068493,23288
3,0,1394.69315068493,23166
3,0,1394.69315068493,21954
3,0,1394.69315068493,22957
3,0,1394.69315068493,24424
3,0,1394.69315068493,25315
3,0,1394.69315068493,25599
3,0,1394.69315068493,25078
3,0,1394.69315068493,26310
3,0,1394.69315068493,25331
3,0,1394.69315068493,24507
3,0,1394.69315068493,22651
3,0,1394.69315068493,23345
3,0,1394.69315068493,24366
3,0,1394.69315068493,24762
3,0,1394.69315068493,25255
3,0,1394.69315068493,23771
3,0,1394.69315068493,24922
3,0,1394.69315068493,24514
3,0,1394.69315068493,24498
3,0,1394.69315068493,22751
3,0,1394.69315068493,23212
3,0,1394.69315068493,26543
3,0,1394.69315068493,26595
3,0,1394.69315068493,27996
3,0,1394.69315068493,27122
3,0,1394.69315068493,26105
3,0,1394.69315068493,24876
3,0,1394.69315068493,24256
3,0,1394.69315068493,22613
3,0,1394.69315068493,23530
3,0,1394.69315068493,21772
3,0,1394.69315068493,23393
3,0,1394.69315068493,21407
3,0,1394.69315068493,21037
3,0,1394.69315068493,23082
3,0,1394.69315068493,22383
3,0,1394.69315068493,20349
3,0,1394.69315068493,22004
3,0,1394.69315068493,24133
3,0,1394.69315068493,23945
3,0,1394.69315068493,23287
3,0,1394.69315068493,22930
3,0,1394.69315068493,24283
3,0,1394.69315068493,24770
3,0,1394.69315068493,24821
3,0,1394.69315068493,24801
3,0,1394.69315068493,25189
3,0,1394.69315068493,24647
3,0,1394.69315068493,24135
3,0,1394.69315068493,24465
3,0,1394.69315068493,21652
3,0,1394.69315068493,21579
3,0,1394.69315068493,21735
3,0,1394.69315068493,21515
3,0,1394.69315068493,21919
3,0,1394.69315068493,21759
3,0,1394.69315068493,24171
3,0,1394.69315068493,23587
3,0,1394.69315068493,23489
3,0,1394.69315068493,22917
3,0,1394.69315068493,23759
3,0,1394.69315068493,21841
3,0,1394.69315068493,22489
3,0,1394.69315068493,23609
3,0,1394.69315068493,22427
3,0,1394.69315068493,22178
3,0,1394.69315068493,20443
3,0,1394.69315068493,20765
3,0,1394.69315068493,19115
3,0,1394.69315068493,18002
3,0,1394.69315068493,20399
3,0,1394.69315068493,19706
3,0,1394.69315068493,18745
3,0,1394.69315068493,20513
3,0,1394.69315068493,19315
3,0,1394.69315068493,21225
3,0,1394.69315068493,17384
3,0,1394.69315068493,20140
3,0,1394.69315068493,22031
3,0,1394.69315068493,22276
3,0,1394.69315068493,20245
3,0,1394.69315068493,21766
3,0,1394.69315068493,21721
3,0,1394.69315068493,21727
3,0,1394.69315068493,23092
3,0,1394.69315068493,22656
3,0,1394.69315068493,22334
3,0,1394.69315068493,22861
3,0,1394.69315068493,22210
3,0,1394.69315068493,21261
3,0,1394.69315068493,20708
3,0,1394.69315068493,20836
3,0,1394.69315068493,20369
3,0,1394.69315068493,21243
3,0,1394.69315068493,20850
3,0,1394.69315068493,20034
3,0,1394.69315068493,19137
3,0,1394.69315068493,19569
3,0,1394.69315068493,20283
3,0,1394.69315068493,20183
3,0,1394.69315068493,21240
3,0,1394.69315068493,21563
3,0,1394.69315068493,21109
3,0,1394.69315068493,20722
3,0,1394.69315068493,19354
3,0,1394.69315068493,18331
3,0,1394.69315068493,20726
3,0,1394.69315068493,21879
3,0,1394.69315068493,21153
3,0,1394.69315068493,20082
3,0,1394.69315068493,18392
3,0,1394.69315068493,19570
3,0,1394.69315068493,19556
3,0,1394.69315068493,20271
3,0,1394.69315068493,20325
3,0,1394.69315068493,20207
3,0,1394.69315068493,20022
3,0,1394.69315068493,19375
3,0,1394.69315068493,19345
3,0,1394.69315068493,19648
3,0,1394.69315068493,20261
3,0,1394.69315068493,19823
3,0,1394.69315068493,18647
3,0,1394.69315068493,19209
3,0,1394.69315068493,19477
3,0,1394.69315068493,19109
3,0,1394.69315068493,19548
